id,cause_of_death,region_origin,affected_nationality,missing,dead,incident_region,date,source,reliability,lat,lon
58977,Pulmonary complications,Caribbean,Haiti,,1,Central America incl. Mexico,14/05/2016,Diario Extra,Partially Verified,11.20286127,-85.61479021
59377,,,,,1,U.S./Mexico Border,10/05/2016,Hoy Tamaulipas,Partially Verified,27.03365639,-98.23361552
59378,,Central America,,,1,U.S./Mexico Border,12/05/2016,Hoy Tamaulipas,Partially Verified,26.96657045,-98.25596419
60177,Drowning,MENA,Algeria,,1,Mediterranean,11/05/2016,Yabiladi,Partially Verified,35.89649142,-5.306228746
60178,,,,10,,Mediterranean,20/05/2016,The Telegraph,Partially Verified,38.77736577,8.077144236
60577,Drowning,,,250,5,Mediterranean,24/05/2016,IOM Italy,Partially Verified,32.95064874,12.62889855
60578,Violent robbery,Central America,Guatemala,,1,Central America incl. Mexico,23/05/2016,Diario El Sur,Partially Verified,15.34093998,-92.67558723
60977,Murdered,Central America,El Salvador,,1,Central America incl. Mexico,19/05/2016,Cuatro Poder de Chiapas,Partially Verified,14.90695799,-92.26184894
61377,Drowning,Mixed,,550,,Mediterranean,25/05/2016,IOM Italy,Verified,33.6468334,12.11195075
61378,Burns and Suffocation,,,,4,Mediterranean,24/05/2016,UNHCR,Verified,35.4768178,12.58404485
62177,Drowning,Central America & Mexico,Mexico,,1,U.S./Mexico Border,05/03/2015,El Manana,Partially Verified,27.62574191,-99.62659529
62178,Drowning or suffocation in hull,Mixed,,200,45,Mediterranean,28/05/2016,IOM Italy,Verified,35.12387008,15.15257634
62577,Presumed drowning,Mixed,,47,,Mediterranean,25/05/2016,IOM Italy,Partially Verified,33.00516898,12.50068079
62977,Presumed drowning,,,,6,Mediterranean,24/05/2016,IOM Italy,Verified,35.48520638,12.61341504
62978,Presumed drowning,,,,1,Mediterranean,25/05/2016,IOM Italy,Verified,36.08254852,13.054795
62979,Presumed drowning,,,,1,Mediterranean,27/05/2016,IOM Italy,Verified,34.63006218,14.79472942
62980,Presumed drowning,,,9,,Mediterranean,25/05/2016,IOM Italy,Verified,36.09061728,15.36766231
63377,Drowning,Central America,,,1,U.S./Mexico Border,24/05/2016,El Diario,Partially Verified,28.72772095,-100.5079563
